cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
False	1	1	PER	0.64000	0.23704	0.34595	270	CRF_PA	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	1	1	0	0.97749	0.99392	0.98563	15946	CRF_PA	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NED
False	1	1	1	0.53589	0.23480	0.32653	477	CRF_PA	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NED
True	1	1	LOC	0.63717	0.30901	0.41618	233	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	ORG	0.47727	0.11667	0.18750	180	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	PER	0.49296	0.23179	0.31532	151	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	0	0.96806	0.99482	0.98126	12158	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	1	1	0.72368	0.29255	0.41667	564	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	1	LOC	0.58871	0.31330	0.40896	233	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	ORG	0.47368	0.15000	0.22785	180	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	PER	0.40000	0.21192	0.27706	151	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	1	0	0.96830	0.99243	0.98022	12158	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	1	1	0.64751	0.29965	0.40970	564	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	2	LOC	0.57447	0.32400	0.41432	250	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	ORG	0.38202	0.19318	0.25660	176	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	PER	0.58929	0.20245	0.30137	163	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	0	0.96629	0.99110	0.97854	11801	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	2	1	0.63287	0.30730	0.41371	589	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	2	LOC	0.55319	0.31200	0.39898	250	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	ORG	0.43077	0.15909	0.23237	176	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	PER	0.55224	0.22699	0.32174	163	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	2	0	0.96534	0.99119	0.97809	11801	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	2	1	0.61905	0.28693	0.39211	589	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	3	LOC	0.59286	0.34016	0.43229	244	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	ORG	0.47887	0.20988	0.29185	162	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	PER	0.27119	0.09467	0.14035	169	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	0	0.96620	0.99106	0.97847	11854	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	3	1	0.60741	0.28522	0.38817	575	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	3	LOC	0.54362	0.33197	0.41221	244	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	ORG	0.55769	0.17901	0.27103	162	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	PER	0.25000	0.06509	0.10329	169	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	3	0	0.96520	0.99207	0.97845	11854	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	3	1	0.61633	0.26261	0.36829	575	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	4	LOC	0.58394	0.34483	0.43360	232	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	ORG	0.37634	0.17413	0.23810	201	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	PER	0.48352	0.31655	0.38261	139	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	0	0.96867	0.98925	0.97885	11814	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	4	1	0.60436	0.33916	0.43449	572	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	4	LOC	0.60127	0.40948	0.48718	232	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	ORG	0.36667	0.10945	0.16858	201	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	PER	0.39759	0.23741	0.29730	139	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	4	0	0.96864	0.99086	0.97962	11814	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	4	1	0.64120	0.33741	0.44215	572	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	5	LOC	0.51240	0.33155	0.40260	187	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	5	ORG	0.52564	0.20297	0.29286	202	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	5	PER	0.38182	0.27273	0.31818	154	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	5	0	0.97083	0.98959	0.98012	12106	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	5	1	0.59223	0.33702	0.42958	543	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	5	LOC	0.54198	0.37968	0.44654	187	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
