cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
False	8	1	0	0.98227	0.99379	0.98800	15943	CRF	wnut15.train	wnut15.dev	NED
False	8	1	1	0.66212	0.40417	0.50194	480	CRF	wnut15.train	wnut15.dev	NED
False	8	1	LOC	0.47692	0.19620	0.27803	158	CRF_PA	wnut15.train	wnut15.dev	NER
False	8	1	ORG	0.85714	0.12245	0.21429	49	CRF_PA	wnut15.train	wnut15.dev	NER
False	8	1	PER	0.57923	0.38828	0.46491	273	CRF_PA	wnut15.train	wnut15.dev	NER
False	8	0	average	0.57393	0.29792	0.37781	0	CRF-PA	wnut15.train	wnut15.dev	NER
False	8	1	0	0.97977	0.99360	0.98664	15943	CRF_PA	wnut15.train	wnut15.dev	NED
False	8	1	1	0.60000	0.31875	0.41633	480	CRF_PA	wnut15.train	wnut15.dev	NED
False	8	1	LOC	0.71514	0.42973	0.53686	1110	CRF	wnut15.train	wnut16.test	NER
False	8	1	ORG	0.70161	0.09581	0.16860	908	CRF	wnut15.train	wnut16.test	NER
False	8	1	PER	0.50801	0.52218	0.51500	789	CRF	wnut15.train	wnut16.test	NER
False	8	0	average	0.65255	0.34770	0.41159	0	CRF	wnut15.train	wnut16.test	NER
False	8	1	0	0.97125	0.99082	0.98094	59800	CRF	wnut15.train	wnut16.test	NED
False	8	1	1	0.65730	0.37513	0.47766	2807	CRF	wnut15.train	wnut16.test	NED
False	8	1	LOC	0.63478	0.32883	0.43323	1110	CRF_PA	wnut15.train	wnut16.test	NER
False	8	1	ORG	0.72340	0.03744	0.07120	908	CRF_PA	wnut15.train	wnut16.test	NER
False	8	1	PER	0.54743	0.44613	0.49162	789	CRF_PA	wnut15.train	wnut16.test	NER
False	8	0	average	0.63890	0.26755	0.33254	0	CRF-PA	wnut15.train	wnut16.test	NER
False	8	1	0	0.96816	0.99313	0.98049	59800	CRF_PA	wnut15.train	wnut16.test	NED
False	8	1	1	0.67510	0.30424	0.41945	2807	CRF_PA	wnut15.train	wnut16.test	NED
False	8	1	LOC	0.71429	0.12295	0.20979	244	CRF	wnut15.train	wnut17.test	NER
False	8	1	ORG	0.00000	0.00000	0.00000	88	CRF	wnut15.train	wnut17.test	NER
False	8	1	PER	0.68095	0.25581	0.37191	559	CRF	wnut15.train	wnut17.test	NER
False	8	0	average	0.62283	0.19416	0.29078	0	CRF	wnut15.train	wnut17.test	NER
False	8	1	0	0.96963	0.99716	0.98320	22508	CRF	wnut15.train	wnut17.test	NED
False	8	1	1	0.74603	0.21100	0.32896	891	CRF	wnut15.train	wnut17.test	NED
False	8	1	LOC	0.47692	0.12705	0.20065	244	CRF_PA	wnut15.train	wnut17.test	NER
False	8	1	ORG	0.00000	0.00000	0.00000	88	CRF_PA	wnut15.train	wnut17.test	NER
False	8	1	PER	0.79310	0.24687	0.37653	559	CRF_PA	wnut15.train	wnut17.test	NER
False	8	0	average	0.62819	0.18967	0.29118	0	CRF-PA	wnut15.train	wnut17.test	NER
False	8	1	0	0.96960	0.99751	0.98336	22508	CRF_PA	wnut15.train	wnut17.test	NED
False	8	1	1	0.76955	0.20988	0.32981	891	CRF_PA	wnut15.train	wnut17.test	NED
True	8	1	LOC	0.73529	0.31646	0.44248	79	CRF	wnut16.train	wnut16.train	NER
True	8	1	ORG	0.95238	0.45455	0.61538	44	CRF	wnut16.train	wnut16.train	NER
True	8	1	PER	0.85870	0.64754	0.73832	122	CRF	wnut16.train	wnut16.train	NER
True	8	1	average	0.83573	0.50612	0.62085	0	CRF	wnut16.train	wnut16.train	NER
True	8	1	0	0.98756	0.99805	0.99278	9229	CRF	wnut16.train	wnut16.train	NED
True	8	1	1	0.87755	0.52653	0.65816	245	CRF	wnut16.train	wnut16.train	NED
True	8	1	LOC	0.63158	0.15190	0.24490	79	CRF_PA	wnut16.train	wnut16.train	NER
True	8	1	ORG	0.91667	0.25000	0.39286	44	CRF_PA	wnut16.train	wnut16.train	NER
True	8	1	PER	0.83721	0.59016	0.69231	122	CRF_PA	wnut16.train	wnut16.train	NER
True	8	1	average	0.78517	0.38776	0.49426	0	CRF_PA	wnut16.train	wnut16.train	NER
True	8	1	0	0.98440	0.99805	0.99118	9229	CRF_PA	wnut16.train	wnut16.train	NED
True	8	1	1	0.84615	0.40408	0.54696	245	CRF_PA	wnut16.train	wnut16.train	NED
True	8	2	LOC	0.74286	0.36620	0.49057	71	CRF	wnut16.train	wnut16.train	NER
True	8	2	ORG	0.66667	0.38710	0.48980	31	CRF	wnut16.train	wnut16.train	NER
True	8	2	PER	0.76471	0.57233	0.65468	159	CRF	wnut16.train	wnut16.train	NER
True	8	2	average	0.74712	0.49425	0.59045	0	CRF	wnut16.train	wnut16.train	NER
True	8	2	0	0.98611	0.99558	0.99082	9270	CRF	wnut16.train	wnut16.train	NED
True	8	2	1	0.76163	0.50192	0.60508	261	CRF	wnut16.train	wnut16.train	NED
True	8	2	LOC	0.66667	0.16901	0.26966	71	CRF_PA	wnut16.train	wnut16.train	NER
True	8	2	ORG	0.87500	0.22581	0.35897	31	CRF_PA	wnut16.train	wnut16.train	NER
True	8	2	PER	0.79464	0.55975	0.65683	159	CRF_PA	wnut16.train	wnut16.train	NER
True	8	2	average	0.76937	0.41379	0.51613	0	CRF_PA	wnut16.train	wnut16.train	NER
True	8	2	0	0.98424	0.99730	0.99073	9270	CRF_PA	wnut16.train	wnut16.train	NED
True	8	2	1	0.81884	0.43295	0.56642	261	CRF_PA	wnut16.train	wnut16.train	NED
True	8	3	LOC	0.69231	0.28571	0.40449	63	CRF	wnut16.train	wnut16.train	NER
True	8	3	ORG	0.93333	0.34146	0.50000	41	CRF	wnut16.train	wnut16.train	NER
True	8	3	PER	0.78000	0.65546	0.71233	119	CRF	wnut16.train	wnut16.train	NER
True	8	3	average	0.78342	0.49327	0.58632	0	CRF	wnut16.train	wnut16.train	NER
True	8	3	0	0.98804	0.99693	0.99246	9113	CRF	wnut16.train	wnut16.train	NED
True	8	3	1	0.80142	0.50673	0.62088	223	CRF	wnut16.train	wnut16.train	NED
True	8	3	LOC	0.60000	0.23810	0.34091	63	CRF_PA	wnut16.train	wnut16.train	NER
True	8	3	ORG	0.77778	0.17073	0.28000	41	CRF_PA	wnut16.train	wnut16.train	NER
True	8	3	PER	0.71154	0.62185	0.66368	119	CRF_PA	wnut16.train	wnut16.train	NER
True	8	3	average	0.69221	0.43049	0.50195	0	CRF_PA	wnut16.train	wnut16.train	NER
True	8	3	0	0.98684	0.99605	0.99143	9113	CRF_PA	wnut16.train	wnut16.train	NED
True	8	3	1	0.73913	0.45740	0.56510	223	CRF_PA	wnut16.train	wnut16.train	NED
False	8	1	LOC	0.62195	0.32278	0.42500	158	CRF	wnut16.train	wnut15.dev	NER
False	8	1	ORG	0.57143	0.16327	0.25397	49	CRF	wnut16.train	wnut15.dev	NER
False	8	1	PER	0.61421	0.44322	0.51489	273	CRF	wnut16.train	wnut15.dev	NER
False	8	0	average	0.61239	0.37500	0.45867	0	CRF	wnut16.train	wnut15.dev	NER
False	8	1	0	0.98227	0.99379	0.98800	15943	CRF	wnut16.train	wnut15.dev	NED
False	8	1	1	0.66212	0.40417	0.50194	480	CRF	wnut16.train	wnut15.dev	NED
False	8	1	LOC	0.45312	0.18354	0.26126	158	CRF_PA	wnut16.train	wnut15.dev	NER
False	8	1	ORG	0.85714	0.12245	0.21429	49	CRF_PA	wnut16.train	wnut15.dev	NER
False	8	1	PER	0.59341	0.39560	0.47473	273	CRF_PA	wnut16.train	wnut15.dev	NER
False	8	0	average	0.57415	0.29792	0.37787	0	CRF-PA	wnut16.train	wnut15.dev	NER
False	8	1	0	0.97972	0.99366	0.98664	15943	CRF_PA	wnut16.train	wnut15.dev	NED
False	8	1	1	0.60079	0.31667	0.41473	480	CRF_PA	wnut16.train	wnut15.dev	NED
False	8	1	LOC	0.71514	0.42973	0.53686	1110	CRF	wnut16.train	wnut16.test	NER
False	8	1	ORG	0.70161	0.09581	0.16860	908	CRF	wnut16.train	wnut16.test	NER
False	8	1	PER	0.50801	0.52218	0.51500	789	CRF	wnut16.train	wnut16.test	NER
False	8	0	average	0.65255	0.34770	0.41159	0	CRF	wnut16.train	wnut16.test	NER
False	8	1	0	0.97125	0.99082	0.98094	59800	CRF	wnut16.train	wnut16.test	NED
False	8	1	1	0.65730	0.37513	0.47766	2807	CRF	wnut16.train	wnut16.test	NED
False	8	1	LOC	0.63574	0.33333	0.43735	1110	CRF_PA	wnut16.train	wnut16.test	NER
False	8	1	ORG	0.79545	0.03855	0.07353	908	CRF_PA	wnut16.train	wnut16.test	NER
False	8	1	PER	0.52915	0.46008	0.49220	789	CRF_PA	wnut16.train	wnut16.test	NER
False	8	0	average	0.65744	0.27360	0.33508	0	CRF-PA	wnut16.train	wnut16.test	NER
False	8	1	0	0.96864	0.99286	0.98060	59800	CRF_PA	wnut16.train	wnut16.test	NED
False	8	1	1	0.67454	0.31528	0.42972	2807	CRF_PA	wnut16.train	wnut16.test	NED
False	8	1	LOC	0.71429	0.12295	0.20979	244	CRF	wnut16.train	wnut17.test	NER
False	8	1	ORG	0.00000	0.00000	0.00000	88	CRF	wnut16.train	wnut17.test	NER
False	8	1	PER	0.68095	0.25581	0.37191	559	CRF	wnut16.train	wnut17.test	NER
False	8	0	average	0.62283	0.19416	0.29078	0	CRF	wnut16.train	wnut17.test	NER
False	8	1	0	0.96963	0.99716	0.98320	22508	CRF	wnut16.train	wnut17.test	NED
False	8	1	1	0.74603	0.21100	0.32896	891	CRF	wnut16.train	wnut17.test	NED
False	8	1	LOC	0.48529	0.13525	0.21154	244	CRF_PA	wnut16.train	wnut17.test	NER
False	8	1	ORG	0.00000	0.00000	0.00000	88	CRF_PA	wnut16.train	wnut17.test	NER
False	8	1	PER	0.78947	0.24150	0.36986	559	CRF_PA	wnut16.train	wnut17.test	NER
False	8	0	average	0.62820	0.18855	0.28998	0	CRF-PA	wnut16.train	wnut17.test	NER
False	8	1	0	0.96955	0.99747	0.98331	22508	CRF_PA	wnut16.train	wnut17.test	NED
False	8	1	1	0.76543	0.20875	0.32804	891	CRF_PA	wnut16.train	wnut17.test	NED
True	8	1	LOC	0.74074	0.41379	0.53097	145	CRF	wnut17.train	wnut17.train	NER
True	8	1	ORG	0.91667	0.50000	0.64706	44	CRF	wnut17.train	wnut17.train	NER
True	8	1	PER	0.79870	0.54911	0.65079	224	CRF	wnut17.train	wnut17.train	NER
True	8	1	average	0.79092	0.49637	0.60833	0	CRF	wnut17.train	wnut17.train	NER
True	8	1	0	0.98459	0.99672	0.99062	12503	CRF	wnut17.train	wnut17.train	NED
True	8	1	1	0.84170	0.52785	0.64881	413	CRF	wnut17.train	wnut17.train	NED
True	8	1	LOC	0.67925	0.24828	0.36364	145	CRF_PA	wnut17.train	wnut17.train	NER
True	8	1	ORG	0.80000	0.18182	0.29630	44	CRF_PA	wnut17.train	wnut17.train	NER
True	8	1	PER	0.69880	0.51786	0.59487	224	CRF_PA	wnut17.train	wnut17.train	NER
True	8	1	average	0.70271	0.38741	0.48188	0	CRF_PA	wnut17.train	wnut17.train	NER
True	8	1	0	0.98163	0.99608	0.98881	12503	CRF_PA	wnut17.train	wnut17.train	NED
True	8	1	1	0.78603	0.43584	0.56075	413	CRF_PA	wnut17.train	wnut17.train	NED
True	8	2	LOC	0.75000	0.38650	0.51012	163	CRF	wnut17.train	wnut17.train	NER
True	8	2	ORG	0.95652	0.40741	0.57143	54	CRF	wnut17.train	wnut17.train	NER
True	8	2	PER	0.81046	0.55856	0.66133	222	CRF	wnut17.train	wnut17.train	NER
True	8	2	average	0.80598	0.47608	0.59413	0	CRF	wnut17.train	wnut17.train	NER
True	8	2	0	0.98275	0.99681	0.98973	12520	CRF	wnut17.train	wnut17.train	NED
True	8	2	1	0.84615	0.50114	0.62947	439	CRF	wnut17.train	wnut17.train	NED
True	8	2	LOC	0.64912	0.22699	0.33636	163	CRF_PA	wnut17.train	wnut17.train	NER
True	8	2	ORG	1.00000	0.20370	0.33846	54	CRF_PA	wnut17.train	wnut17.train	NER
True	8	2	PER	0.72258	0.50450	0.59416	222	CRF_PA	wnut17.train	wnut17.train	NER
True	8	2	average	0.72943	0.36446	0.46699	0	CRF_PA	wnut17.train	wnut17.train	NER
True	8	2	0	0.97959	0.99649	0.98796	12520	CRF_PA	wnut17.train	wnut17.train	NED
True	8	2	1	0.80269	0.40774	0.54079	439	CRF_PA	wnut17.train	wnut17.train	NED
True	8	3	LOC	0.72619	0.45185	0.55708	135	CRF	wnut17.train	wnut17.train	NER
True	8	3	ORG	0.88462	0.38983	0.54118	59	CRF	wnut17.train	wnut17.train	NER
True	8	3	PER	0.79739	0.61307	0.69318	199	CRF	wnut17.train	wnut17.train	NER
True	8	3	average	0.78602	0.52417	0.62361	0	CRF	wnut17.train	wnut17.train	NER
True	8	3	0	0.98547	0.99592	0.99067	12261	CRF	wnut17.train	wnut17.train	NED
True	8	3	1	0.80989	0.54198	0.64939	393	CRF	wnut17.train	wnut17.train	NED
True	8	3	LOC	0.64407	0.28148	0.39175	135	CRF_PA	wnut17.train	wnut17.train	NER
True	8	3	ORG	1.00000	0.35593	0.52500	59	CRF_PA	wnut17.train	wnut17.train	NER
True	8	3	PER	0.73973	0.54271	0.62609	199	CRF_PA	wnut17.train	wnut17.train	NER
True	8	3	average	0.74594	0.42494	0.53041	0	CRF_PA	wnut17.train	wnut17.train	NER
True	8	3	0	0.98286	0.99625	0.98951	12261	CRF_PA	wnut17.train	wnut17.train	NED
True	8	3	1	0.79646	0.45802	0.58158	393	CRF_PA	wnut17.train	wnut17.train	NED
False	8	1	LOC	0.66109	1.00000	0.79597	158	CRF	wnut17.train	wnut15.dev	NER
False	8	1	ORG	0.90741	1.00000	0.95146	49	CRF	wnut17.train	wnut15.dev	NER
False	8	1	PER	0.87869	0.98168	0.92734	273	CRF	wnut17.train	wnut15.dev	NER
False	8	0	average	0.80999	0.98958	0.88656	0	CRF	wnut17.train	wnut15.dev	NER
False	8	1	0	0.99968	0.99229	0.99597	15943	CRF	wnut17.train	wnut15.dev	NED
False	8	1	1	0.79431	0.98958	0.88126	480	CRF	wnut17.train	wnut15.dev	NED
False	8	1	LOC	0.46667	0.31013	0.37262	158	CRF_PA	wnut17.train	wnut15.dev	NER
False	8	1	ORG	0.90000	0.18367	0.30508	49	CRF_PA	wnut17.train	wnut15.dev	NER
False	8	1	PER	0.67143	0.51648	0.58385	273	CRF_PA	wnut17.train	wnut15.dev	NER
False	8	0	average	0.62736	0.41458	0.48586	0	CRF-PA	wnut17.train	wnut15.dev	NER
False	8	1	0	0.98323	0.99279	0.98798	15943	CRF_PA	wnut17.train	wnut15.dev	NED
False	8	1	1	0.64615	0.43750	0.52174	480	CRF_PA	wnut17.train	wnut15.dev	NED
False	8	1	LOC	0.54054	0.52252	0.53138	1110	CRF	wnut17.train	wnut16.test	NER
False	8	1	ORG	0.71359	0.16189	0.26391	908	CRF	wnut17.train	wnut16.test	NER
False	8	1	PER	0.55614	0.53992	0.54791	789	CRF	wnut17.train	wnut16.test	NER
False	8	0	average	0.60090	0.41076	0.44951	0	CRF	wnut17.train	wnut16.test	NER
False	8	1	0	0.97444	0.98686	0.98061	59800	CRF	wnut17.train	wnut16.test	NED
False	8	1	1	0.61565	0.44852	0.51896	2807	CRF	wnut17.train	wnut16.test	NED
False	8	1	LOC	0.54510	0.37568	0.44480	1110	CRF_PA	wnut17.train	wnut16.test	NER
False	8	1	ORG	0.81579	0.06828	0.12602	908	CRF_PA	wnut17.train	wnut16.test	NER
False	8	1	PER	0.51311	0.52091	0.51698	789	CRF_PA	wnut17.train	wnut16.test	NER
False	8	0	average	0.62367	0.31706	0.36197	0	CRF-PA	wnut17.train	wnut16.test	NER
False	8	1	0	0.97098	0.98990	0.98035	59800	CRF_PA	wnut17.train	wnut16.test	NED
False	8	1	1	0.63216	0.36979	0.46662	2807	CRF_PA	wnut17.train	wnut16.test	NED
False	8	1	LOC	0.58108	0.17623	0.27044	244	CRF	wnut17.train	wnut17.test	NER
