algo:DT; ds1:emerging.test.annotated.horus; ds2:ner.txt.horus; cross-validation:False; config:1; run:1; label:ORG; p:0.25000; r:0.00976; f1:0.01878; support:205 
algo:DT; ds1:emerging.test.annotated.horus; ds2:ner.txt.horus; cross-validation:False; config:1; run:1; label:PER; p:0.46758; r:0.35575; f1:0.40407; support:669 
algo:DT; ds1:emerging.test.annotated.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:1; run:1; label:LOC; p:0.21311; r:0.08228; f1:0.11872; support:158 
algo:DT; ds1:emerging.test.annotated.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:1; run:1; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:49 
algo:DT; ds1:emerging.test.annotated.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:1; run:1; label:PER; p:0.37456; r:0.39259; f1:0.38336; support:270 
algo:DT; ds1:ner.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:1; run:1; label:LOC; p:0.48858; r:0.09640; f1:0.16102; support:1110 
algo:DT; ds1:ner.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:1; run:1; label:ORG; p:0.15000; r:0.00993; f1:0.01863; support:906 
algo:DT; ds1:ner.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:1; run:1; label:PER; p:0.29550; r:0.34981; f1:0.32037; support:789 
algo:DT; ds1:ner.txt.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:1; run:1; label:LOC; p:0.21875; r:0.02869; f1:0.05072; support:244 
algo:DT; ds1:ner.txt.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:1; run:1; label:ORG; p:0.22222; r:0.02299; f1:0.04167; support:87 
algo:DT; ds1:ner.txt.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:1; run:1; label:PER; p:0.61326; r:0.19786; f1:0.29919; support:561 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:1; label:LOC; p:0.66667; r:0.14118; f1:0.23301; support:85 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:1; label:ORG; p:0.63636; r:0.15556; f1:0.25000; support:45 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:1; label:PER; p:0.63095; r:0.39259; f1:0.48402; support:135 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:2; label:LOC; p:0.39130; r:0.12162; f1:0.18557; support:74 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:2; label:ORG; p:0.50000; r:0.13889; f1:0.21739; support:36 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:2; label:PER; p:0.63415; r:0.41270; f1:0.50000; support:126 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:3; label:LOC; p:0.55000; r:0.18033; f1:0.27160; support:61 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:3; label:ORG; p:0.83333; r:0.22727; f1:0.35714; support:44 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:3; label:PER; p:0.64384; r:0.38525; f1:0.48205; support:122 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:4; label:LOC; p:0.71429; r:0.22727; f1:0.34483; support:66 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:4; label:ORG; p:0.78571; r:0.27500; f1:0.40741; support:40 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:4; label:PER; p:0.60000; r:0.42105; f1:0.49485; support:114 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:5; label:LOC; p:0.45000; r:0.15254; f1:0.22785; support:59 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:5; label:ORG; p:0.66667; r:0.17143; f1:0.27273; support:35 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:1; run:5; label:PER; p:0.67647; r:0.34074; f1:0.45320; support:135 
algo:DT; ds1:ner.txt.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:1; run:1; label:LOC; p:0.21429; r:0.05696; f1:0.09000; support:158 
algo:DT; ds1:ner.txt.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:1; run:1; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:49 
algo:DT; ds1:ner.txt.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:1; run:1; label:PER; p:0.51596; r:0.35926; f1:0.42358; support:270 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:1; run:1; label:LOC; p:0.42169; r:0.03153; f1:0.05868; support:1110 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:1; run:1; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:906 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:1; run:1; label:PER; p:0.31739; r:0.18504; f1:0.23379; support:789 
algo:DT; ds1:2015.conll.freebase.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:1; run:1; label:LOC; p:0.33333; r:0.00820; f1:0.01600; support:244 
algo:DT; ds1:2015.conll.freebase.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:1; run:1; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:87 
algo:DT; ds1:2015.conll.freebase.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:1; run:1; label:PER; p:0.57746; r:0.07308; f1:0.12975; support:561 
algo:DT; ds1:2015.conll.freebase.horus; ds2:ner.txt.horus; cross-validation:False; config:1; run:1; label:LOC; p:0.35000; r:0.02134; f1:0.04023; support:328 
algo:DT; ds1:2015.conll.freebase.horus; ds2:ner.txt.horus; cross-validation:False; config:1; run:1; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:205 
algo:DT; ds1:2015.conll.freebase.horus; ds2:ner.txt.horus; cross-validation:False; config:1; run:1; label:PER; p:0.64179; r:0.12855; f1:0.21420; support:669 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:1; label:LOC; p:0.33333; r:0.04651; f1:0.08163; support:43 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:1; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:6 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:1; label:PER; p:0.60000; r:0.15789; f1:0.25000; support:57 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:2; label:LOC; p:0.20000; r:0.03125; f1:0.05405; support:32 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:2; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:8 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:2; label:PER; p:0.37500; r:0.10345; f1:0.16216; support:58 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:3; label:LOC; p:0.00000; r:0.00000; f1:0.00000; support:28 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:3; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:10 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:3; label:PER; p:0.66667; r:0.17241; f1:0.27397; support:58 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:4; label:LOC; p:0.00000; r:0.00000; f1:0.00000; support:36 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:4; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:11 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:4; label:PER; p:0.58824; r:0.16393; f1:0.25641; support:61 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:5; label:LOC; p:0.33333; r:0.04167; f1:0.07407; support:24 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:5; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:13 
algo:DT; ds1:2015.conll.freebase.horus; ds2:2015.conll.freebase.horus; cross-validation:True; config:1; run:5; label:PER; p:0.50000; r:0.18868; f1:0.27397; support:53 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:1; label:LOC; p:0.63889; r:0.30263; f1:0.41071; support:228 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:1; label:ORG; p:0.60000; r:0.12281; f1:0.20388; support:171 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:1; label:PER; p:0.60256; r:0.27811; f1:0.38057; support:169 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:2; label:LOC; p:0.62044; r:0.35270; f1:0.44974; support:241 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:2; label:ORG; p:0.62500; r:0.16760; f1:0.26432; support:179 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:2; label:PER; p:0.49438; r:0.28025; f1:0.35772; support:157 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:3; label:LOC; p:0.60305; r:0.34498; f1:0.43889; support:229 
