cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2
False	2	1	PER	0.65563	0.17647	0.27809	561	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	2	1	LOC	0.24880	0.15854	0.19367	328	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	2	1	ORG	0.52941	0.30732	0.38889	205	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	2	1	PER	0.49345	0.16891	0.25167	669	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	2	1	LOC	0.40845	0.18354	0.25328	158	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	2	1	ORG	0.23333	0.14286	0.17722	49	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	2	1	PER	0.51908	0.25185	0.33915	270	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	2	1	LOC	0.36228	0.10901	0.16759	1110	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	ORG	0.10448	0.00773	0.01439	906	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	PER	0.36860	0.27376	0.31418	789	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
True	2	1	LOC	0.33333	0.10000	0.15385	50	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	1	ORG	0.50000	0.05263	0.09524	19	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	1	PER	0.72000	0.31304	0.43636	115	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	2	LOC	0.31579	0.15000	0.20339	40	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	2	ORG	0.50000	0.06250	0.11111	16	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	2	PER	0.55102	0.25472	0.34839	106	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	3	LOC	0.33333	0.12727	0.18421	55	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	3	ORG	0.50000	0.05556	0.10000	18	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	3	PER	0.64000	0.30769	0.41558	104	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
