cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
False	1	1	LOC	0.49339	0.10090	0.16754	1110	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	ORG	0.15000	0.00993	0.01863	906	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	PER	0.29399	0.34094	0.31573	789	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	0	0.96544	0.99135	0.97822	59737	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	1	0.56988	0.24421	0.34190	2805	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	1	LOC	0.66667	0.11765	0.20000	85	DT	ner.txt.horus	ner.txt.horus	NER
True	1	1	ORG	0.63636	0.15556	0.25000	45	DT	ner.txt.horus	ner.txt.horus	NER
True	1	1	PER	0.64634	0.39259	0.48848	135	DT	ner.txt.horus	ner.txt.horus	NER
True	1	1	0	0.98042	0.99717	0.98872	9187	DT	ner.txt.horus	ner.txt.horus	NED
True	1	1	1	0.75926	0.30943	0.43968	265	DT	ner.txt.horus	ner.txt.horus	NED
True	1	2	LOC	0.56522	0.17568	0.26804	74	DT	ner.txt.horus	ner.txt.horus	NER
True	1	2	ORG	0.50000	0.16667	0.25000	36	DT	ner.txt.horus	ner.txt.horus	NER
True	1	2	PER	0.67105	0.40476	0.50495	126	DT	ner.txt.horus	ner.txt.horus	NER
True	1	2	0	0.98383	0.99718	0.99046	9216	DT	ner.txt.horus	ner.txt.horus	NED
True	1	2	1	0.76577	0.36017	0.48991	236	DT	ner.txt.horus	ner.txt.horus	NED
True	1	3	LOC	0.60000	0.14754	0.23684	61	DT	ner.txt.horus	ner.txt.horus	NER
True	1	3	ORG	0.66667	0.22727	0.33898	44	DT	ner.txt.horus	ner.txt.horus	NER
True	1	3	PER	0.69231	0.36885	0.48128	122	DT	ner.txt.horus	ner.txt.horus	NER
True	1	3	0	0.98343	0.99751	0.99042	9225	DT	ner.txt.horus	ner.txt.horus	NED
True	1	3	1	0.75789	0.31718	0.44720	227	DT	ner.txt.horus	ner.txt.horus	NED
True	1	4	LOC	0.72222	0.19697	0.30952	66	DT	ner.txt.horus	ner.txt.horus	NER
True	1	4	ORG	0.91667	0.27500	0.42308	40	DT	ner.txt.horus	ner.txt.horus	NER
True	1	4	PER	0.63636	0.42982	0.51309	114	DT	ner.txt.horus	ner.txt.horus	NER
True	1	4	0	0.98545	0.99751	0.99144	9232	DT	ner.txt.horus	ner.txt.horus	NED
True	1	4	1	0.78505	0.38182	0.51376	220	DT	ner.txt.horus	ner.txt.horus	NED
True	1	5	LOC	0.36364	0.13559	0.19753	59	DT	ner.txt.horus	ner.txt.horus	NER
True	1	5	ORG	0.85714	0.17143	0.28571	35	DT	ner.txt.horus	ner.txt.horus	NER
True	1	5	PER	0.65672	0.32593	0.43564	135	DT	ner.txt.horus	ner.txt.horus	NER
True	1	5	0	0.98247	0.99664	0.98950	9223	DT	ner.txt.horus	ner.txt.horus	NED
True	1	5	1	0.67708	0.28384	0.40000	229	DT	ner.txt.horus	ner.txt.horus	NED
False	1	1	LOC	0.19355	0.02459	0.04364	244	DT	ner.txt.horus	emerging.test.annotated.horus	NER
False	1	1	ORG	0.25000	0.02299	0.04211	87	DT	ner.txt.horus	emerging.test.annotated.horus	NER
False	1	1	PER	0.61957	0.20321	0.30604	561	DT	ner.txt.horus	emerging.test.annotated.horus	NER
False	1	1	0	0.96827	0.99703	0.98244	22525	DT	ner.txt.horus	emerging.test.annotated.horus	NED
False	1	1	1	0.69955	0.17489	0.27982	892	DT	ner.txt.horus	emerging.test.annotated.horus	NED
False	1	1	LOC	0.17910	0.07595	0.10667	158	DT	emerging.test.annotated.horus	2015.conll.freebase.horus	NER
False	1	1	ORG	0.00000	0.00000	0.00000	49	DT	emerging.test.annotated.horus	2015.conll.freebase.horus	NER
False	1	1	PER	0.35906	0.39630	0.37676	270	DT	emerging.test.annotated.horus	2015.conll.freebase.horus	NER
False	1	1	0	0.98044	0.98689	0.98365	15946	DT	emerging.test.annotated.horus	2015.conll.freebase.horus	NED
False	1	1	1	0.43817	0.34172	0.38398	477	DT	emerging.test.annotated.horus	2015.conll.freebase.horus	NED
False	1	1	LOC	0.29056	0.10811	0.15758	1110	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	ORG	0.30556	0.01214	0.02335	906	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	PER	0.22148	0.37643	0.27887	789	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	0	0.96780	0.98425	0.97596	59737	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	1	0.47430	0.30267	0.36953	2805	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	LOC	0.18627	0.05793	0.08837	328	DT	emerging.test.annotated.horus	ner.txt.horus	NER
False	1	1	ORG	0.25000	0.00976	0.01878	205	DT	emerging.test.annotated.horus	ner.txt.horus	NER
False	1	1	PER	0.43856	0.34679	0.38731	669	DT	emerging.test.annotated.horus	ner.txt.horus	NER
False	1	1	0	0.98183	0.99383	0.98780	46057	DT	emerging.test.annotated.horus	ner.txt.horus	NED
False	1	1	1	0.55556	0.29534	0.38566	1202	DT	emerging.test.annotated.horus	ner.txt.horus	NED
True	1	1	LOC	0.53333	0.16000	0.24615	50	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	1	ORG	0.00000	0.00000	0.00000	19	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	1	PER	0.40385	0.18261	0.25150	115	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	1	0	0.97010	0.99489	0.98234	4500	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NED
True	1	1	1	0.66667	0.25000	0.36364	184	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NED
True	1	2	LOC	0.47368	0.22500	0.30508	40	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	2	ORG	0.00000	0.00000	0.00000	16	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	2	PER	0.53448	0.29245	0.37805	106	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	2	0	0.97525	0.99337	0.98422	4522	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NED
True	1	2	1	0.61538	0.29630	0.40000	162	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NED
True	1	3	LOC	0.39130	0.16364	0.23077	55	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	3	ORG	0.00000	0.00000	0.00000	18	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	3	PER	0.58462	0.36538	0.44970	104	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	3	0	0.97563	0.99467	0.98506	4507	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NED
True	1	3	1	0.73034	0.36723	0.48872	177	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NED
True	1	4	LOC	0.58824	0.18182	0.27778	55	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	4	ORG	0.00000	0.00000	0.00000	10	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	4	PER	0.55357	0.25620	0.35028	121	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	4	0	0.97114	0.99489	0.98287	4498	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NED
True	1	4	1	0.69737	0.28495	0.40458	186	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NED
True	1	5	LOC	0.55000	0.24444	0.33846	45	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	5	ORG	0.00000	0.00000	0.00000	10	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	5	PER	0.58696	0.27000	0.36986	100	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NER
True	1	5	0	0.97661	0.99580	0.98612	4529	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NED
True	1	5	1	0.71212	0.30323	0.42534	155	DT	emerging.test.annotated.horus	emerging.test.annotated.horus	NED
True	2	1	LOC	0.00000	0.00000	0.00000	43	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	1	ORG	0.00000	0.00000	0.00000	6	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	1	PER	0.00000	0.00000	0.00000	57	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	1	0	0.96772	0.99969	0.98344	3179	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	2	1	1	0.00000	0.00000	0.00000	106	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	2	2	LOC	0.00000	0.00000	0.00000	32	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	2	ORG	0.00000	0.00000	0.00000	8	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	2	PER	1.00000	0.01724	0.03390	58	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	2	0	0.97046	1.00000	0.98501	3187	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	2	2	1	1.00000	0.01020	0.02020	98	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	2	3	LOC	0.00000	0.00000	0.00000	28	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	3	ORG	0.00000	0.00000	0.00000	10	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	3	PER	0.00000	0.00000	0.00000	58	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	3	0	0.97078	1.00000	0.98517	3189	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	2	3	1	0.00000	0.00000	0.00000	96	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	2	4	LOC	0.00000	0.00000	0.00000	36	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	4	ORG	0.00000	0.00000	0.00000	11	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	4	PER	0.00000	0.00000	0.00000	61	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	4	0	0.96711	0.99969	0.98313	3177	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
